ID,Time,From,To
236,2006-01-01,5,5
239,2006-01-01,3,3
241,2006-01-01,2,2
244,2006-01-01,7,7
248,2006-01-01,2,2
249,2006-01-01,0,0
250,2006-01-01,7,7
251,2006-01-01,0,0
256,2006-01-01,7,7
257,2006-01-01,7,7
262,2006-01-01,2,2
263,2006-01-01,2,2
267,2006-01-01,7,7
269,2006-01-01,7,7
273,2006-01-01,4,4
275,2006-01-01,4,4
285,2006-01-01,0,0
290,2006-01-01,7,7
291,2006-01-01,2,2
292,2006-01-01,7,7
293,2006-01-01,2,2
294,2006-01-01,7,7
296,2006-01-01,5,5
297,2006-01-01,4,4
301,2006-01-01,1,1
303,2006-01-01,7,7
305,2006-01-01,7,7
309,2006-01-01,7,7
312,2006-01-01,7,7
321,2006-01-01,4,4
323,2006-01-01,0,0
333,2006-01-01,2,2
334,2006-01-01,7,7
338,2006-01-01,4,4
340,2006-01-01,5,5
342,2006-01-01,0,0
345,2006-01-01,2,2
350,2006-01-01,7,7
354,2006-01-01,2,2
356,2006-01-01,7,7
360,2006-01-01,1,1
363,2006-01-01,7,7
369,2006-01-01,2,2
370,2006-01-01,3,3
372,2006-01-01,7,7
373,2006-01-01,7,7
374,2006-01-01,0,0
378,2006-01-01,1,1
380,2006-01-01,1,1
386,2006-01-01,7,7
397,2006-01-01,2,2
400,2006-01-01,7,7
402,2006-01-01,7,7
403,2006-01-01,7,7
407,2006-01-01,4,4
408,2006-01-01,7,7
414,2006-01-01,3,3
420,2006-01-01,0,0
421,2006-01-01,7,7
427,2006-01-01,7,7
429,2006-01-01,0,0
435,2006-01-01,0,0
444,2006-01-01,0,0
447,2006-01-01,7,7
450,2006-01-01,7,7
452,2006-01-01,0,0
459,2006-01-01,2,2
465,2006-01-01,3,3
474,2006-01-01,1,1
475,2006-01-01,1,1
477,2006-01-01,2,2
478,2006-01-01,7,7
481,2006-01-01,7,7
485,2006-01-01,2,2
492,2006-01-01,0,0
493,2006-01-01,5,5
494,2006-01-01,7,7
496,2006-01-01,7,7
498,2006-01-01,1,1
500,2006-01-01,7,7
502,2006-01-01,7,7
505,2006-01-01,0,0
509,2006-01-01,7,7
511,2006-01-01,3,3
512,2006-01-01,4,4
514,2006-01-01,7,7
517,2006-01-01,7,7
520,2006-01-01,1,1
521,2006-01-01,2,2
525,2006-01-01,7,7
526,2006-01-01,1,1
528,2006-01-01,0,0
530,2006-01-01,4,4
532,2006-01-01,1,1
534,2006-01-01,0,0
535,2006-01-01,7,7
536,2006-01-01,7,7
541,2006-01-01,0,0
542,2006-01-01,1,1
545,2006-01-01,7,7
547,2006-01-01,3,3
548,2006-01-01,7,7
553,2006-01-01,0,0
557,2006-01-01,4,4
561,2006-01-01,7,7
570,2006-01-01,7,7
572,2006-01-01,3,3
573,2006-01-01,0,0
575,2006-01-01,4,4
589,2006-01-01,0,0
592,2006-01-01,0,0
593,2006-01-01,1,1
599,2006-01-01,1,1
603,2006-01-01,7,7
605,2006-01-01,0,0
606,2006-01-01,1,1
609,2006-01-01,5,5
613,2006-01-01,3,3
620,2006-01-01,3,3
625,2006-01-01,7,7
628,2006-01-01,1,1
629,2006-01-01,3,3
630,2006-01-01,1,1
633,2006-01-01,3,3
634,2006-01-01,3,3
641,2006-01-01,4,4
642,2006-01-01,7,7
644,2006-01-01,2,2
650,2006-01-01,4,4
651,2006-01-01,2,2
652,2006-01-01,7,7
653,2006-01-01,7,7
654,2006-01-01,5,5
655,2006-01-01,1,1
658,2006-01-01,3,3
661,2006-01-01,5,5
663,2006-01-01,5,5
668,2006-01-01,5,5
669,2006-01-01,7,7
670,2006-01-01,3,3
673,2006-01-01,3,3
675,2006-01-01,2,2
678,2006-01-01,1,1
680,2006-01-01,1,1
683,2006-01-01,0,0
684,2006-01-01,0,0
686,2006-01-01,3,3
689,2006-01-01,3,3
692,2006-01-01,7,7
693,2006-01-01,1,1
697,2006-01-01,3,3
698,2006-01-01,7,7
700,2006-01-01,2,2
703,2006-01-01,0,0
704,2006-01-01,7,7
705,2006-01-01,2,2
710,2006-01-01,7,7
711,2006-01-01,3,3
713,2006-01-01,3,3
717,2006-01-01,1,1
718,2006-01-01,3,3
723,2006-01-01,7,7
724,2006-01-01,7,7
725,2006-01-01,4,4
726,2006-01-01,0,0
734,2006-01-01,7,7
736,2006-01-01,7,7
738,2006-01-01,7,7
740,2006-01-01,2,2
741,2006-01-01,0,0
745,2006-01-01,0,0
747,2006-01-01,7,7
753,2006-01-01,2,2
755,2006-01-01,3,3
757,2006-01-01,0,0
759,2006-01-01,0,0
767,2006-01-01,0,0
773,2006-01-01,2,2
776,2006-01-01,7,7
780,2006-01-01,2,2
782,2006-01-01,2,2
783,2006-01-01,3,3
786,2006-01-01,0,0
787,2006-01-01,2,2
789,2006-01-01,0,0
790,2006-01-01,7,7
791,2006-01-01,7,7
792,2006-01-01,2,2
793,2006-01-01,2,2
794,2006-01-01,7,7
795,2006-01-01,7,7
798,2006-01-01,7,7
800,2006-01-01,7,7
801,2006-01-01,1,1
802,2006-01-01,2,2
803,2006-01-01,7,7
804,2006-01-01,7,7
805,2006-01-01,7,7
806,2006-01-01,7,7
808,2006-01-01,7,7
810,2006-01-01,7,7
812,2006-01-01,7,7
816,2006-01-01,7,7
817,2006-01-01,7,7
819,2006-01-01,7,7
821,2006-01-01,2,2
823,2006-01-01,7,7
825,2006-01-01,3,3
837,2006-01-01,2,2
844,2006-01-01,1,1
847,2006-01-01,2,2
848,2006-01-01,7,7
850,2006-01-01,1,1
853,2006-01-01,0,0
863,2006-01-01,1,1
864,2006-01-01,4,4
865,2006-01-01,3,3
866,2006-01-01,2,2
870,2006-01-01,3,3
871,2006-01-01,5,5
876,2006-01-01,0,0
878,2006-01-01,4,4
882,2006-01-01,0,0
886,2006-01-01,3,3
887,2006-01-01,7,7
892,2006-01-01,3,3
896,2006-01-01,0,0
902,2006-01-01,3,3
909,2006-01-01,7,7
911,2006-01-01,7,7
912,2006-01-01,0,0
913,2006-01-01,2,2
915,2006-01-01,2,2
916,2006-01-01,4,4
919,2006-01-01,7,7
921,2006-01-01,7,7
924,2006-01-01,7,7
925,2006-01-01,4,4
926,2006-01-01,3,3
930,2006-01-01,3,3
933,2006-01-01,0,0
935,2006-01-01,3,3
937,2006-01-01,0,0
942,2006-01-01,1,1
944,2006-01-01,7,7
946,2006-01-01,3,3
949,2006-01-01,7,7
951,2006-01-01,7,7
952,2006-01-01,1,1
955,2006-01-01,7,7
956,2006-01-01,2,2
958,2006-01-01,2,2
960,2006-01-01,7,7
964,2006-01-01,0,0
967,2006-01-01,3,3
971,2006-01-01,0,0
973,2006-01-01,7,7
975,2006-01-01,0,0
976,2006-01-01,7,7
981,2006-01-01,7,7
987,2006-01-01,3,3
990,2006-01-01,1,1
991,2006-01-01,7,7
994,2006-01-01,7,7
997,2006-01-01,3,3
266,2006-01-04,5,3
113,2006-01-04,6,7
182,2006-01-05,6,7
681,2006-01-06,6,5
835,2006-01-06,0,1
515,2006-01-08,4,3
358,2006-01-12,3,5
205,2006-01-14,5,7
177,2006-01-14,6,7
204,2006-01-16,6,7
885,2006-01-20,6,7
210,2006-01-22,5,7
330,2006-01-22,5,6
143,2006-01-23,6,7
202,2006-01-24,4,2
899,2006-01-26,6,5
730,2006-01-27,3,4
657,2006-01-29,0,1
456,2006-01-31,4,5
754,2006-02-01,5,6
406,2006-02-08,4,3
2,2006-02-13,6,7
775,2006-02-17,0,1
451,2006-02-23,1,2
102,2006-02-24,1,0
398,2006-02-24,2,3
646,2006-02-25,0,1
243,2006-02-26,5,7
416,2006-02-27,1,3
445,2006-02-28,6,7
831,2006-03-02,3,4
627,2006-03-04,6,5
367,2006-03-15,1,2
152,2006-03-16,6,7
666,2006-03-18,5,7
560,2006-03-20,6,7
778,2006-03-23,5,4
382,2006-03-24,1,2
422,2006-03-25,2,3
151,2006-03-30,4,5
842,2006-04-02,0,1
319,2006-04-02,6,7
57,2006-04-07,6,4
637,2006-04-12,4,3
211,2006-04-13,4,5
519,2006-04-21,1,2
308,2006-04-28,2,1
877,2006-04-29,5,4
746,2006-04-30,6,7
479,2006-04-30,4,5
624,2006-05-03,6,7
577,2006-05-03,6,7
986,2006-05-05,4,7
597,2006-05-06,4,6
436,2006-05-07,2,0
45,2006-05-08,6,7
687,2006-05-12,6,7
604,2006-05-13,4,7
213,2006-05-19,4,3
923,2006-05-19,6,5
432,2006-05-20,3,7
417,2006-05-20,5,6
984,2006-05-21,2,1
426,2006-05-22,6,7
998,2006-05-22,5,6
172,2006-05-26,6,7
472,2006-05-29,6,5
419,2006-05-29,0,1
768,2006-06-02,1,2
299,2006-06-02,6,7
325,2006-06-02,5,6
375,2006-06-03,5,7
156,2006-06-05,2,1
827,2006-06-05,6,7
852,2006-06-06,3,4
989,2006-06-06,6,7
349,2006-06-07,5,4
366,2006-06-13,6,7
531,2006-06-16,5,4
903,2006-06-16,4,5
324,2006-06-16,6,7
635,2006-06-23,5,7
383,2006-06-23,0,1
453,2006-06-25,5,2
413,2006-06-28,2,3
527,2006-06-30,5,7
304,2006-07-03,4,2
707,2006-07-08,2,1
722,2006-07-09,1,2
168,2006-07-11,6,7
55,2006-07-12,4,6
94,2006-07-14,6,7
28,2006-07-15,4,5
487,2006-07-16,0,1
84,2006-07-22,6,7
607,2006-07-29,6,7
433,2006-07-31,6,7
763,2006-08-06,2,1
889,2006-08-08,4,5
656,2006-08-10,6,7
473,2006-08-12,4,5
992,2006-08-16,4,3
838,2006-08-16,6,7
748,2006-08-17,6,7
671,2006-08-19,0,1
85,2006-08-27,6,7
632,2006-08-28,6,5
141,2006-08-29,6,7
390,2006-08-31,6,7
674,2006-09-01,4,3
394,2006-09-08,5,7
598,2006-09-14,6,7
490,2006-09-16,4,5
761,2006-09-18,6,7
562,2006-09-23,2,3
818,2006-09-24,6,3
222,2006-09-26,6,7
307,2006-09-27,5,4
843,2006-10-01,4,5
777,2006-10-01,4,5
162,2006-10-01,6,7
391,2006-10-06,5,7
582,2006-10-12,4,1
346,2006-10-14,2,3
261,2006-10-18,6,5
820,2006-10-23,3,6
931,2006-10-26,5,4
685,2006-10-28,6,7
855,2006-10-31,6,7
737,2006-11-02,6,7
785,2006-11-13,5,4
110,2006-11-14,3,5
742,2006-11-16,4,6
660,2006-11-17,5,7
978,2006-11-19,6,7
939,2006-11-19,1,2
357,2006-11-21,0,1
20,2006-11-23,4,6
484,2006-11-28,6,7
255,2006-11-28,5,7
905,2006-12-10,4,7
729,2006-12-15,6,4
904,2006-12-17,4,5
63,2006-12-18,2,1
565,2006-12-19,6,7
32,2006-12-22,6,7
302,2006-12-22,3,2
898,2006-12-26,6,7
696,2006-12-30,4,3
832,2007-01-02,2,1
611,2007-01-03,5,4
665,2007-01-03,1,2
399,2007-01-08,3,4
778,2007-01-10,4,5
326,2007-01-11,1,2
927,2007-01-14,5,7
271,2007-01-16,2,3
489,2007-01-19,1,2
464,2007-01-20,6,7
467,2007-01-21,5,4
88,2007-01-25,6,7
756,2007-01-28,5,7
151,2007-01-29,5,3
181,2007-01-30,1,2
355,2007-02-01,3,2
579,2007-02-06,5,3
215,2007-02-07,0,1
300,2007-02-19,5,4
214,2007-02-19,2,4
632,2007-02-20,5,3
41,2007-02-23,5,6
712,2007-02-25,1,2
329,2007-02-26,6,7
504,2007-02-26,4,5
207,2007-02-26,6,7
298,2007-02-27,6,7
616,2007-03-02,5,7
888,2007-03-06,2,3
907,2007-03-07,4,7
626,2007-03-11,6,7
715,2007-03-12,6,7
46,2007-03-23,6,7
144,2007-03-24,4,5
918,2007-03-25,6,5
695,2007-03-26,3,2
781,2007-03-27,5,6
325,2007-04-02,6,7
212,2007-04-10,5,7
258,2007-04-13,6,7
596,2007-04-19,6,7
584,2007-04-28,2,3
648,2007-05-03,6,7
347,2007-05-08,5,7
488,2007-05-10,5,6
281,2007-05-10,3,2
254,2007-05-11,5,7
160,2007-05-13,4,5
441,2007-05-13,6,7
917,2007-05-15,0,1
211,2007-05-17,5,4
544,2007-05-20,4,5
252,2007-05-29,5,4
289,2007-05-30,0,1
533,2007-05-30,3,4
894,2007-05-31,2,1
246,2007-05-31,5,6
87,2007-06-12,4,5
398,2007-06-14,3,2
138,2007-06-15,3,2
820,2007-06-17,6,7
895,2007-06-18,5,3
30,2007-06-20,2,1
34,2007-06-21,1,2
50,2007-06-21,5,4
879,2007-06-26,6,7
387,2007-06-28,5,6
61,2007-06-29,5,3
49,2007-06-30,6,5
385,2007-07-03,1,2
543,2007-07-03,0,1
539,2007-07-05,1,2
430,2007-07-11,1,2
191,2007-07-12,0,1
690,2007-07-15,6,7
322,2007-07-16,6,3
495,2007-07-17,5,2
627,2007-07-18,5,7
280,2007-07-18,5,7
157,2007-07-20,5,3
830,2007-07-21,6,5
558,2007-07-30,0,1
540,2007-07-31,6,7
126,2007-08-01,4,7
245,2007-08-04,6,7
552,2007-08-07,3,4
901,2007-08-09,4,3
133,2007-08-22,0,1
335,2007-09-03,3,2
361,2007-09-03,1,2
127,2007-09-09,0,1
229,2007-09-09,6,7
537,2007-09-11,5,7
318,2007-09-14,2,4
224,2007-09-15,0,1
57,2007-09-15,4,3
423,2007-09-17,5,6
442,2007-09-22,5,4
115,2007-09-24,5,6
631,2007-09-26,3,4
93,2007-10-02,5,3
945,2007-10-02,5,6
588,2007-10-06,5,7
615,2007-10-06,4,3
59,2007-10-07,4,3
137,2007-10-07,3,4
428,2007-10-09,6,7
612,2007-10-11,3,4
170,2007-10-11,6,5
709,2007-10-11,0,1
564,2007-10-23,5,6
702,2007-10-24,0,1
843,2007-10-24,5,7
150,2007-11-02,6,7
569,2007-11-05,6,7
623,2007-11-10,5,7
23,2007-11-17,6,5
587,2007-11-20,1,2
314,2007-11-21,0,1
189,2007-11-22,5,6
602,2007-11-22,5,7
943,2007-11-23,5,2
330,2007-11-24,6,7
555,2007-11-27,0,1
9,2007-11-29,1,3
371,2007-11-29,2,3
409,2007-11-30,2,3
358,2007-12-04,5,6
643,2007-12-07,3,4
486,2007-12-08,6,7
578,2007-12-10,3,4
35,2007-12-13,5,7
336,2007-12-13,0,1
983,2007-12-14,0,2
890,2007-12-15,4,5
637,2007-12-16,3,1
998,2007-12-19,6,7
972,2007-12-21,5,4
720,2007-12-21,6,7
777,2007-12-22,5,6
20,2007-12-23,6,7
501,2007-12-27,3,4
636,2007-12-29,6,7
899,2008-01-26,5,4
58,2008-01-26,3,2
799,2008-01-29,0,1
412,2008-02-02,3,4
594,2008-02-05,6,7
531,2008-02-07,4,5
682,2008-02-10,0,2
282,2008-02-15,5,4
595,2008-02-19,3,2
203,2008-03-02,6,7
619,2008-03-06,3,4
388,2008-03-11,3,4
688,2008-03-12,5,4
581,2008-03-14,6,2
518,2008-03-28,3,4
900,2008-03-29,3,2
189,2008-03-29,6,7
983,2008-03-29,2,3
401,2008-03-30,0,1
261,2008-03-31,5,6
733,2008-04-02,4,5
259,2008-04-04,4,6
51,2008-04-05,2,4
904,2008-04-08,5,7
115,2008-04-09,6,7
382,2008-04-10,2,1
49,2008-04-11,5,6
662,2008-04-11,5,4
874,2008-04-14,1,2
283,2008-04-14,6,7
859,2008-04-19,1,2
562,2008-04-21,3,2
327,2008-04-22,3,4
744,2008-04-23,5,3
332,2008-04-25,5,4
831,2008-04-28,4,5
950,2008-04-28,5,4
676,2008-05-01,2,1
121,2008-05-04,6,7
515,2008-05-04,3,4
671,2008-05-08,1,2
418,2008-05-09,5,4
583,2008-05-17,1,2
96,2008-05-18,6,7
101,2008-05-19,1,2
307,2008-05-22,4,5
617,2008-05-26,5,4
996,2008-06-02,5,4
455,2008-06-10,5,6
849,2008-06-13,4,5
729,2008-06-17,4,5
774,2008-06-19,4,7
980,2008-06-20,2,1
861,2008-06-21,0,1
945,2008-06-23,6,7
709,2008-06-27,1,2
649,2008-07-02,6,5
988,2008-07-24,5,7
431,2008-07-24,5,4
539,2008-08-07,2,1
457,2008-08-11,0,1
556,2008-08-12,4,3
339,2008-08-25,4,5
38,2008-08-26,1,5
739,2008-08-28,4,3
57,2008-08-29,3,2
640,2008-08-29,5,7
471,2008-08-29,2,3
424,2008-08-31,0,1
775,2008-09-06,1,2
962,2008-09-06,5,7
522,2008-09-07,2,1
910,2008-09-12,4,3
437,2008-09-13,4,2
48,2008-09-14,6,7
824,2008-09-21,4,5
19,2008-09-23,5,6
932,2008-09-26,6,7
73,2008-09-27,3,4
872,2008-09-27,1,2
554,2008-10-08,5,4
265,2008-10-08,5,4
708,2008-10-26,1,0
26,2008-10-26,6,7
223,2008-10-28,6,7
571,2008-10-29,3,4
788,2008-10-30,3,2
185,2008-10-31,4,6
473,2008-11-10,5,7
344,2008-11-15,0,1
590,2008-11-16,2,3
903,2008-11-20,5,7
488,2008-11-26,6,7
423,2008-11-27,6,7
476,2008-11-27,4,7
132,2008-11-29,6,5
928,2008-12-01,3,2
140,2008-12-05,4,3
159,2008-12-07,1,2
242,2008-12-14,5,7
985,2008-12-16,3,5
963,2008-12-17,4,5
23,2008-12-20,5,6
470,2008-12-24,4,2
597,2008-12-30,6,5
430,2008-12-30,2,3
549,2008-12-31,2,3
815,2008-12-31,0,1
639,2009-01-01,4,5
638,2009-01-03,4,3
567,2009-01-04,4,3
359,2009-01-06,2,3
147,2009-01-13,0,1
691,2009-01-17,4,7
943,2009-01-26,2,3
743,2009-02-03,1,2
766,2009-02-13,1,2
23,2009-02-17,6,5
17,2009-02-17,6,7
127,2009-02-21,1,2
732,2009-02-21,4,5
377,2009-02-25,5,2
259,2009-02-28,6,7
100,2009-03-05,4,7
618,2009-03-15,4,3
869,2009-03-18,4,6
237,2009-03-20,2,3
899,2009-03-24,4,5
600,2009-04-01,6,7
667,2009-04-05,2,1
232,2009-04-07,5,6
246,2009-04-12,6,7
230,2009-04-12,0,1
809,2009-04-12,5,3
860,2009-04-18,4,7
460,2009-04-20,4,5
972,2009-04-23,4,3
358,2009-04-29,6,7
936,2009-05-01,1,2
437,2009-05-04,2,3
132,2009-05-04,5,7
216,2009-05-06,3,5
317,2009-05-07,3,2
332,2009-05-21,4,7
419,2009-05-21,1,2
510,2009-05-23,3,2
742,2009-05-25,6,7
744,2009-05-25,3,4
622,2009-05-30,3,4
957,2009-05-31,4,5
49,2009-06-04,6,7
890,2009-06-04,5,6
279,2009-06-08,2,4
585,2009-06-12,0,1
376,2009-06-18,2,3
413,2009-06-21,3,5
101,2009-06-22,2,7
166,2009-07-05,2,3
497,2009-07-09,5,2
969,2009-07-14,3,4
272,2009-07-25,2,1
67,2009-07-30,0,1
754,2009-08-04,6,7
77,2009-08-07,4,3
765,2009-08-18,6,5
173,2009-08-18,6,7
771,2009-08-18,4,3
392,2009-08-18,5,3
112,2009-08-19,3,2
70,2009-08-20,3,1
676,2009-08-26,1,2
862,2009-08-26,1,2
845,2009-08-26,4,3
840,2009-08-27,4,3
929,2009-08-29,4,7
15,2009-09-01,1,2
897,2009-09-04,6,7
213,2009-09-05,3,4
240,2009-09-15,4,7
999,2009-09-21,0,1
396,2009-09-22,4,5
220,2009-09-28,1,2
192,2009-10-01,3,4
813,2009-10-02,6,7
110,2009-10-05,5,0
563,2009-10-07,6,7
446,2009-10-07,0,1
186,2009-10-11,4,7
11,2009-10-11,2,3
284,2009-10-11,5,4
365,2009-10-15,4,5
524,2009-10-15,1,3
343,2009-10-21,5,3
260,2009-10-21,0,1
348,2009-10-23,3,2
278,2009-10-25,6,5
940,2009-10-26,4,3
963,2009-10-26,5,7
266,2009-10-27,3,4
889,2009-11-01,5,7
311,2009-11-07,3,2
797,2009-11-10,1,2
456,2009-11-11,5,7
564,2009-11-15,6,7
568,2009-11-18,2,1
393,2009-11-20,5,3
868,2009-11-21,5,3
758,2009-11-21,2,3
410,2009-11-22,5,7
516,2009-11-22,4,5
264,2009-11-24,3,4
833,2009-11-24,3,4
760,2009-11-28,1,3
735,2009-12-11,1,2
1,2009-12-12,4,5
611,2009-12-12,4,3
614,2009-12-18,2,4
383,2009-12-20,1,2
781,2009-12-23,6,5
252,2009-12-27,4,2
649,2010-01-03,5,7
1,2010-01-05,5,7
948,2010-01-06,3,2
171,2010-01-07,6,7
234,2010-01-09,3,2
970,2010-01-20,1,2
895,2010-01-26,3,4
765,2010-01-31,5,7
470,2010-02-05,2,4
828,2010-02-06,0,1
824,2010-02-11,5,6
0,2010-02-13,5,4
247,2010-02-13,0,1
55,2010-02-22,6,7
662,2010-02-27,4,5
315,2010-03-05,1,2
337,2010-03-07,5,7
77,2010-03-11,3,4
899,2010-03-18,5,7
10,2010-03-21,3,2
362,2010-03-22,0,1
857,2010-03-26,5,6
777,2010-03-28,6,7
491,2010-04-02,0,1
869,2010-04-04,6,7
646,2010-04-12,1,2
351,2010-04-18,2,1
185,2010-04-20,6,7
568,2010-04-28,1,2
719,2010-04-28,0,1
832,2010-04-28,1,2
954,2010-05-07,6,7
353,2010-05-10,5,7
36,2010-05-11,1,2
591,2010-05-12,3,2
769,2010-05-17,1,2
969,2010-05-18,4,5
457,2010-05-26,1,2
43,2010-05-28,1,2
523,2010-06-03,5,6
276,2010-06-10,0,1
42,2010-06-16,6,7
176,2010-06-18,3,4
645,2010-06-19,4,3
941,2010-06-19,0,1
80,2010-06-21,4,7
762,2010-06-25,4,5
415,2010-06-28,0,1
261,2010-06-29,6,7
335,2010-07-07,2,3
482,2010-07-12,2,5
750,2010-07-12,3,2
858,2010-07-14,5,7
468,2010-07-18,1,2
449,2010-07-22,5,6
612,2010-07-23,4,3
417,2010-07-24,6,7
170,2010-07-27,5,3
506,2010-07-28,3,4
729,2010-08-07,5,6
721,2010-08-09,3,1
467,2010-08-11,4,3
87,2010-08-15,5,7
82,2010-08-16,3,2
699,2010-08-18,3,4
278,2010-08-18,5,4
965,2010-08-19,3,4
829,2010-08-28,3,4
156,2010-08-31,1,2
50,2010-08-31,4,5
796,2010-09-05,3,1
159,2010-09-06,2,3
770,2010-09-08,0,1
851,2010-09-10,6,7
221,2010-09-24,4,6
38,2010-09-25,5,6
187,2010-10-11,6,3
95,2010-10-11,3,2
834,2010-10-14,2,3
443,2010-10-18,3,2
943,2010-10-21,3,2
59,2010-10-22,3,4
409,2010-10-24,3,4
419,2010-11-03,2,3
950,2010-11-06,4,5
993,2010-11-07,0,1
490,2010-11-11,5,6
106,2010-11-13,3,4
877,2010-11-14,4,1
550,2010-11-17,3,4
33,2010-11-19,4,3
580,2010-11-21,5,4
107,2010-11-21,0,1
510,2010-11-23,2,1
160,2010-11-25,5,4
938,2010-11-28,3,4
880,2010-12-05,3,4
972,2010-12-09,3,2
320,2010-12-16,5,7
268,2010-12-20,6,7
835,2010-12-21,1,2
455,2010-12-22,6,7
554,2010-12-31,4,5
413,2011-01-06,5,4
161,2011-01-09,2,1
729,2011-01-19,6,5
918,2011-01-23,5,7
170,2011-01-31,3,4
841,2011-02-03,3,5
382,2011-02-07,1,3
873,2011-02-08,3,6
228,2011-02-10,2,3
499,2011-02-14,1,2
339,2011-02-15,5,7
124,2011-02-22,3,6
533,2011-02-25,4,3
834,2011-02-28,3,1
449,2011-03-03,6,5
466,2011-03-08,0,1
59,2011-03-09,4,2
396,2011-03-10,5,6
194,2011-03-13,4,3
61,2011-03-15,3,4
54,2011-03-17,1,2
701,2011-03-21,4,5
890,2011-03-22,6,7
809,2011-03-23,3,6
277,2011-03-24,6,7
306,2011-03-25,2,3
144,2011-03-25,5,4
392,2011-03-26,3,5
467,2011-04-01,3,5
472,2011-04-01,5,7
82,2011-04-06,2,1
103,2011-04-11,4,5
482,2011-04-14,5,7
884,2011-04-15,1,2
531,2011-04-15,5,6
856,2011-04-17,3,2
38,2011-04-18,6,7
908,2011-04-19,2,3
387,2011-04-22,6,7
289,2011-04-25,1,2
201,2011-04-26,5,6
677,2011-04-27,3,4
643,2011-04-29,4,3
69,2011-05-03,1,2
601,2011-05-08,2,3
266,2011-05-09,4,3
501,2011-05-28,4,5
93,2011-05-30,3,2
959,2011-06-04,0,1
371,2011-06-10,3,4
752,2011-06-20,3,1
463,2011-06-21,1,2
7,2011-06-24,0,1
208,2011-06-25,0,1
271,2011-07-01,3,4
102,2011-07-01,0,1
727,2011-07-13,4,2
384,2011-07-22,2,1
344,2011-08-12,1,3
503,2011-08-14,3,4
163,2011-08-16,0,1
867,2011-08-20,5,7
647,2011-08-20,4,5
148,2011-08-22,0,1
659,2011-08-30,2,3
632,2011-09-01,3,2
284,2011-09-03,4,5
639,2011-09-04,5,4
197,2011-09-08,1,3
836,2011-09-11,5,7
133,2011-09-16,1,0
920,2011-09-17,3,2
157,2011-09-21,3,4
732,2011-09-26,5,4
617,2011-10-02,4,7
968,2011-10-03,2,1
671,2011-10-07,2,3
566,2011-10-09,4,5
318,2011-10-15,4,2
610,2011-10-16,3,4
41,2011-10-21,6,7
3,2011-10-30,4,3
328,2011-10-30,3,4
731,2011-11-02,0,1
460,2011-11-04,5,6
523,2011-11-07,6,5
232,2011-11-07,6,5
302,2011-11-11,2,3
287,2011-11-15,5,4
469,2011-11-18,3,5
288,2011-11-19,4,3
849,2011-11-21,5,4
24,2011-11-23,5,6
47,2011-11-27,4,3
750,2011-12-08,2,3
552,2011-12-11,4,5
576,2011-12-13,4,5
310,2011-12-18,3,5
829,2011-12-21,4,3
270,2012-01-02,0,1
71,2012-01-04,0,2
336,2012-01-07,1,2
446,2012-01-18,1,2
389,2012-01-21,1,2
282,2012-01-31,4,5
999,2012-02-03,1,2
187,2012-02-10,3,4
28,2012-02-13,5,7
405,2012-02-15,2,5
749,2012-02-15,4,3
457,2012-02-20,2,1
214,2012-02-22,4,2
676,2012-02-25,2,3
906,2012-02-28,0,2
513,2012-03-12,4,3
